,genre,count,percentage
0,rap,24,0.48
1,alternative metal,1,0.02
2,east coast hip hop,2,0.04
3,dance pop,1,0.02
4,canadian hip hop,1,0.02
5,chicago rap,1,0.02
6,trap,8,0.16
7,alternative hip hop,5,0.1
8,j-pixie,1,0.02
9,dark trap,2,0.04
10,escape room,3,0.06
11,rock,1,0.02
12,boom bap,1,0.02
13,underground hip hop,15,0.3
14,nc hip hop,1,0.02
15,hardcore hip hop,1,0.02
16,pop rap,26,0.52
17,otacore,2,0.04
18,dirty south rap,1,0.02
19,anime,1,0.02
20,hip hop,22,0.44
21,melodic rap,2,0.04
22,el paso indie,1,0.02
23,emo rap,1,0.02
24,k-pop,2,0.04
25,anime rock,1,0.02
26,boy band,1,0.02
27,electropop,2,0.04
28,cali rap,3,0.06
29,hawaiian hip hop,1,0.02
30,southern hip hop,6,0.12
31,indonesian hip hop,1,0.02
32,canadian contemporary r&b,2,0.04
33,metropopolis,1,0.02
34,la indie,1,0.02
35,deep underground hip hop,2,0.04
36,canadian pop,2,0.04
37,new orleans rap,1,0.02
38,west coast rap,1,0.02
39,indie r&b,2,0.04
40,alternative rock,1,0.02
41,indie soul,1,0.02
42,uk pop,1,0.02
43,toronto rap,1,0.02
44,trap soul,1,0.02
45,miami hip hop,2,0.04
46,garage rock,1,0.02
47,vapor trap,3,0.06
48,modern rock,1,0.02
49,alternative r&b,6,0.12
50,nz pop,1,0.02
51,west coast trap,1,0.02
52,conscious hip hop,5,0.1
53,art pop,3,0.06
54,dmv rap,3,0.06
55,k-pop boy group,1,0.02
56,malaysian pop,1,0.02
57,k-pop girl group,1,0.02
58,pop,9,0.18
59,gangster rap,3,0.06
60,la pop,1,0.02
61,drill,1,0.02
62,dfw rap,1,0.02
